time,seconds_elapsed,bpm
1686204647756043500,5.93104345703125,77.00000000000001
1686204652756043500,10.93104345703125,79
1686204653756043500,11.93104345703125,79
1686204658756043500,16.93104345703125,84
1686204663756043500,21.93104345703125,93
1686204672756043500,30.93104345703125,86
1686204674756043500,32.93104345703125,83
1686204678756043500,36.93104345703125,84
1686204687756043500,45.93104345703125,82
1686204690756043500,48.93104345703125,82
1686204695756043500,53.93104345703125,84
1686204698756043500,56.93104345703125,86
1686204707756043500,65.93104345703125,93
1686204712756043500,70.93104345703125,96
1686204713756043500,71.93104345703125,96
1686204718756043500,76.93104345703125,97
1686204724756043500,82.93104345703125,99
1686204732756043500,90.93104345703125,95
1686204734756043500,92.93104345703125,94
1686204738756043500,96.93104345703125,95
1686204743756043500,101.93104345703125,98
1686204749756043500,107.93104345703125,99
1686204756756043500,114.93104345703125,97
1686204758756043500,116.93104345703125,97
1686204765756043500,123.93104345703125,96
1686204772756043500,130.93104345703125,99
1686204775756043500,133.93104345703125,97
1686204780756043500,138.93104345703125,98
1686204786756043500,144.93104345703125,96
1686204788756043500,146.93104345703125,98
1686204795756043500,153.93104345703125,97
1686204798756043500,156.93104345703125,99
1686204804756043500,162.93104345703125,97
1686204810756043500,168.93104345703125,94
1686204814756043500,172.93104345703125,93
1686204818756043500,176.93104345703125,95
1686204824756043500,182.93104345703125,95
1686204828756043500,186.93104345703125,95
1686204833756043500,191.93104345703125,95
1686204838756043500,196.93104345703125,95
1686204844756043500,202.93104345703125,96
1686204851756043500,209.93104345703125,97
1686204857756043500,215.93104345703125,95
1686204861756043500,219.93104345703125,94
1686204863756043500,221.93104345703125,94
1686204872756043500,230.93104345703125,94
1686204874756043500,232.93104345703125,94
1686204878756043500,236.93104345703125,94
1686204885756043500,243.93104345703125,93
1686204888756043500,246.93104345703125,94
1686204893756043500,251.93104345703125,94
1686204899756043500,257.93104345703125,95
1686204903756043500,261.93104345703125,93
1686204912756043500,270.93104345703125,93
1686204914756043500,272.93104345703125,92.00000000000001
1686204918756043500,276.93104345703125,93
1686204923756043500,281.93104345703125,92.00000000000001
1686204932756043500,290.93104345703125,94
1686204936756043500,294.93104345703125,95
1686204938756043500,296.93104345703125,94
1686204944756043500,302.93104345703125,93
1686204951756043500,309.93104345703125,92.00000000000001
1686204954756043500,312.93104345703125,92.00000000000001
1686204959756043500,317.93104345703125,91
1686204965756043500,323.93104345703125,90
1686204969756043500,327.93104345703125,89
1686204977756043500,335.93104345703125,90
1686204979756043500,337.93104345703125,89
1686204984756043500,342.93104345703125,89
1686204991756043500,349.93104345703125,89
1686204993756043500,351.93104345703125,89
1686205001756043500,359.93104345703125,88
1686205003756043500,361.93104345703125,88
1686205011756043500,369.93104345703125,87
1686205015756043500,373.93104345703125,88
1686205022756043500,380.93104345703125,90
1686205024756043500,382.93104345703125,90
1686205028756043500,386.93104345703125,91
1686205036756043500,394.93104345703125,90
1686205039756043500,397.93104345703125,90
1686205044756043500,402.93104345703125,90
1686205048756043500,406.93104345703125,90
1686205057756043500,415.93104345703125,90
1686205058756043500,416.93104345703125,90
1686205067756043500,425.93104345703125,91